,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10,f09_stimulus_1,f09_stimulus_2,f09_stimulus_3,f09_stimulus_4,f09_stimulus_5,f09_stimulus_6,f09_stimulus_7,f09_stimulus_8,f09_stimulus_9,f09_stimulus_10,f010_stimulus_1,f010_stimulus_2,f010_stimulus_3,f010_stimulus_4,f010_stimulus_5,f010_stimulus_6,f010_stimulus_7,f010_stimulus_8,f010_stimulus_9,f010_stimulus_10
0.0985,-2.4,17.6,-2.4,-2.4,-2.4,-2.4,17.6,-2.4,-2.4,17.6,18.56,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,38.56,-1.44,-1.44,18.09,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,18.09,18.09,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,17.41,17.41,-2.59,37.41,17.41,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,38.99,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,19.37,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.0995,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-2.4,17.6,37.6,-1.44,-1.44,-1.44,-1.44,18.56,18.56,-1.44,-1.44,18.56,38.56,-1.91,-1.91,18.09,-1.91,-1.91,-1.91,-1.91,-1.91,18.09,38.09,-0.57,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,17.41,-2.59,17.41,-2.59,57.41,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,18.28,-1.72,-1.72,18.28,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,19.84,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,19.84
0.1005,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,58.56,18.09,-1.91,18.09,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,19.43,-2.59,17.41,-2.59,17.41,-2.59,17.41,-2.59,-2.59,-2.59,17.41,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,18.99,-1.72,-1.72,-1.72,18.28,18.28,-1.72,-1.72,-1.72,-1.72,38.28,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,19.37,19.37,19.37,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1015,-2.4,-2.4,17.6,-2.4,-2.4,-2.4,-2.4,17.6,57.6,17.6,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,18.56,18.09,18.09,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,18.09,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,17.41,57.41,-2.59,-2.59,17.41,17.41,-2.59,-2.59,17.41,17.41,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,18.28,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,19.37,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1025,-2.4,-2.4,-2.4,17.6,-2.4,17.6,57.6,77.6,-2.4,37.6,18.56,18.56,-1.44,18.56,58.56,78.56,-1.44,38.56,18.56,78.56,18.09,18.09,-1.91,18.09,78.09,58.09,18.09,38.09,38.09,58.09,39.43,19.43,39.43,19.43,19.43,19.43,39.43,119.43,59.43,-0.57,17.41,17.41,-2.59,17.41,-2.59,57.41,77.41,17.41,-2.59,37.41,18.99,-1.01,18.99,18.99,78.99,58.99,58.99,58.99,38.99,58.99,18.28,38.28,-1.72,-1.72,18.28,58.28,38.28,18.28,18.28,18.28,-0.39,39.61,19.61,-0.39,19.61,79.61,99.61,79.61,59.61,39.61,-0.63,19.37,19.37,19.37,-0.63,39.37,-0.63,39.37,99.37,159.37,19.84,39.84,19.84,-0.16,-0.16,59.84,59.84,39.84,-0.16,19.84
0.1035,17.6,17.6,-2.4,57.6,-2.4,-2.4,17.6,37.6,37.6,57.6,38.56,18.56,18.56,18.56,18.56,58.56,38.56,38.56,118.56,18.56,-1.91,-1.91,-1.91,-1.91,38.09,38.09,58.09,58.09,38.09,18.09,119.43,139.43,59.43,-0.57,39.43,-0.57,19.43,-0.57,19.43,19.43,-2.59,17.41,-2.59,17.41,17.41,17.41,-2.59,17.41,77.41,57.41,18.99,138.99,158.99,-1.01,38.99,-1.01,38.99,-1.01,38.99,58.99,38.28,38.28,58.28,38.28,-1.72,38.28,18.28,58.28,38.28,18.28,79.61,19.61,79.61,-0.39,19.61,19.61,-0.39,-0.39,19.61,19.61,19.37,19.37,19.37,39.37,39.37,-0.63,19.37,-0.63,19.37,-0.63,139.84,99.84,99.84,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1045,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,37.6,37.6,-1.44,18.56,-1.44,18.56,-1.44,18.56,18.56,78.56,78.56,78.56,-1.91,-1.91,18.09,-1.91,-1.91,38.09,18.09,18.09,18.09,18.09,99.43,119.43,59.43,79.43,59.43,59.43,39.43,39.43,19.43,39.43,17.41,-2.59,-2.59,17.41,-2.59,17.41,17.41,37.41,37.41,37.41,18.99,58.99,58.99,58.99,138.99,98.99,118.99,38.99,-1.01,18.99,18.28,38.28,18.28,58.28,38.28,-1.72,58.28,98.28,98.28,58.28,39.61,19.61,19.61,19.61,39.61,139.61,79.61,19.61,19.61,79.61,59.37,39.37,39.37,-0.63,199.37,79.37,39.37,19.37,39.37,39.37,79.84,39.84,79.84,39.84,99.84,39.84,19.84,19.84,-0.16,-0.16
0.1055,-2.4,17.6,17.6,17.6,37.6,37.6,17.6,-2.4,37.6,-2.4,98.56,-1.44,78.56,38.56,18.56,38.56,58.56,-1.44,38.56,38.56,-1.91,18.09,58.09,18.09,-1.91,38.09,38.09,18.09,38.09,38.09,79.43,79.43,39.43,119.43,-0.57,59.43,59.43,79.43,39.43,-0.57,117.41,37.41,57.41,-2.59,17.41,-2.59,37.41,37.41,-2.59,17.41,98.99,98.99,18.99,118.99,18.99,18.99,18.99,58.99,58.99,18.99,18.28,18.28,38.28,38.28,-1.72,38.28,38.28,18.28,18.28,18.28,39.61,59.61,59.61,39.61,19.61,39.61,-0.39,39.61,99.61,-0.39,39.37,59.37,79.37,59.37,79.37,39.37,39.37,-0.63,19.37,-0.63,59.84,99.84,79.84,139.84,19.84,39.84,39.84,39.84,-0.16,-0.16
0.1065,17.6,-2.4,57.6,17.6,17.6,-2.4,97.6,97.6,-2.4,17.6,18.56,18.56,38.56,-1.44,18.56,18.56,38.56,98.56,78.56,38.56,38.09,118.09,98.09,98.09,58.09,38.09,58.09,78.09,18.09,38.09,-0.57,-0.57,19.43,19.43,39.43,79.43,19.43,59.43,39.43,39.43,77.41,17.41,-2.59,77.41,97.41,17.41,97.41,77.41,17.41,77.41,18.99,-1.01,18.99,18.99,38.99,38.99,18.99,18.99,38.99,-1.01,38.28,18.28,18.28,78.28,18.28,98.28,18.28,38.28,18.28,98.28,-0.39,19.61,19.61,59.61,-0.39,19.61,19.61,59.61,19.61,19.61,-0.63,19.37,19.37,19.37,59.37,59.37,39.37,19.37,39.37,-0.63,-0.16,-0.16,-0.16,19.84,39.84,19.84,39.84,-0.16,-0.16,-0.16
0.1075,-2.4,-2.4,-2.4,17.6,-2.4,17.6,17.6,17.6,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,18.56,-1.44,-1.44,18.56,78.56,-1.44,-1.91,38.09,18.09,98.09,18.09,-1.91,78.09,38.09,-1.91,38.09,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,17.41,-2.59,-2.59,17.41,37.41,-2.59,37.41,37.41,37.41,37.41,18.99,-1.01,-1.01,-1.01,-1.01,-1.01,18.99,-1.01,18.99,18.99,38.28,-1.72,-1.72,18.28,-1.72,18.28,-1.72,38.28,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,19.61,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,19.37,-0.63,19.37,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1085,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,17.6,17.6,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,18.09,-1.91,18.09,18.09,18.09,18.09,18.09,18.09,38.09,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,37.41,17.41,-2.59,17.41,57.41,37.41,37.41,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,38.28,18.28,-1.72,-1.72,-1.72,38.28,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1095,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,18.09,-1.91,-1.91,38.09,38.09,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,17.41,-2.59,17.41,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,18.28,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1105,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,18.09,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,38.09,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,17.41,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,18.28,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1115,17.6,-2.4,-2.4,-2.4,17.6,-2.4,-2.4,17.6,17.6,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,18.09,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,17.41,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,18.28,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1125,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,18.56,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,18.28,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1135,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,18.09,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,17.41,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,18.28,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1145,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1155,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1165,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1175,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,19.37,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1185,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,17.41,-2.59,17.41,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1195,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,19.37,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1205,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,19.37,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1215,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1225,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,17.41,17.41,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
0.1235,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17.6,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-2.59,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.01,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
