,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10,f09_stimulus_1,f09_stimulus_2,f09_stimulus_3,f09_stimulus_4,f09_stimulus_5,f09_stimulus_6,f09_stimulus_7,f09_stimulus_8,f09_stimulus_9,f09_stimulus_10
0.1125,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,17.13306126,16.72489796,17.13306126,16.72489796,-3.27510204,37.54122446,-3.27510204,-3.27510204,17.13306126,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,17.9655102,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,19.17836739,-1.22979591,-1.22979591,-1.22979591,-1.22979591,19.17836739,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1135,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,19.82857146,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,59.19,17.9655102,-2.0344898,-2.0344898,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,19.17836739,18.77020409,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1145,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,17.13306126,17.13306126,-3.27510204,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,18.77020409,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1155,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,19.1259184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,18.57734694,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1165,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,-3.27510204,16.72489796,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,17.13306126,17.13306126,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,18.3736735,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1175,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,17.13306126,16.72489796,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1185,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,16.72489796,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1195,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1205,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1215,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,17.13306126,-3.27510204,-3.27510204,16.72489796,-3.27510204,-3.27510204,-3.27510204,-3.27510204,17.13306126,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1225,18.34204086,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,19.82857146,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,19.17836739,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1235,-2.06612244,18.34204086,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,16.72489796,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,17.13306126,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,19.43122452,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,19.17836739,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1245,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,37.54122446,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1255,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,37.54122446,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1265,-2.06612244,18.34204086,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1275,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,18.3736735,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1285,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,17.13306126,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,18.98551024
0.1295,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,19.1259184,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,38.7818367,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,19.17836739,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,18.98551024,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1305,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,18.34204086,-2.06612244,-2.06612244,-3.27510204,-3.27510204,-3.27510204,-3.27510204,16.72489796,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,19.1259184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-2.0344898,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
0.1315,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,-2.06612244,17.13306126,17.13306126,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-3.27510204,-1.2822449,39.5340816,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-1.2822449,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,-0.57959184,18.3736735,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-2.0344898,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.97693878,-0.18346938,20.22469392,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-0.18346938,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.22979591,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306,-1.42265306
