,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.1285,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1295,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1305,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1315,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1325,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,18.48431369,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1335,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1345,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1355,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1365,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,18.87647059,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1375,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,19.37960781,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1385,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,18.41117647,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,19.47352941,-0.52647059,-0.52647059,-0.52647059
0.1395,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1405,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,18.54921568,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1415,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,18.54921568,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,18.87647059,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1425,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,18.87647059,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1435,18.01901957,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1445,18.01901957,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,18.41117647,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1455,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,19.37960781,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,19.47352941,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1465,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,18.15705878,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1475,-1.58882353,18.01901957,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,18.15705878,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,18.54921568,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1485,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,18.54921568,-1.45078432,-1.45078432,-1.45078432,18.15705878,-1.45078432,18.48431369,18.48431369,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059
0.1495,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.58882353,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.45078432,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-1.12352941,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.22823529,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.11941176,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.14921568,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,-0.52647059,19.47352941,19.47352941,-0.52647059,-0.52647059
